"GrowthTemp","Substrate","Day","CO2","Strain","Generation","EvolTemp"
16,"L",1,0.00075192,"MM02","A","16"
16,"L",7,0.051344568,"MM02","A","16"
16,"L",14,0.506279304,"MM02","A","16"
16,"L",21,0.082352592,"MM02","A","16"
16,"R",1,0.002521824,"MM02","A","16"
16,"R",7,0.006269856,"MM02","A","16"
16,"R",14,0.00306552,"MM02","A","16"
16,"R",21,0.00595752,"MM02","A","16"
22,"L",1,0.001110528,"MM02","A","16"
22,"L",7,0.312272376,"MM02","A","16"
22,"L",14,0.160627464,"MM02","A","16"
22,"L",21,0.019879608,"MM02","A","16"
22,"R",1,0.006148392,"MM02","A","16"
22,"R",7,0.008080248,"MM02","A","16"
22,"R",14,0.005124624,"MM02","A","16"
22,"R",21,0.00355716,"MM02","A","16"
16,"L",1,0.007513416,"MM02","B","16"
16,"L",7,0.083653992,"MM02","B","16"
16,"L",14,0.154033704,"MM02","B","16"
16,"L",21,0.057411984,"MM02","B","16"
16,"R",1,0.003082872,"MM02","B","16"
16,"R",7,0.003765384,"MM02","B","16"
16,"R",14,0.003337368,"MM02","B","16"
16,"R",21,0.004875912,"MM02","B","16"
22,"L",1,0.008051328,"MM02","B","16"
22,"L",7,0.358018032,"MM02","B","16"
22,"L",14,0.068806464,"MM02","B","16"
22,"L",21,0.024599352,"MM02","B","16"
22,"R",1,0.009115584,"MM02","B","16"
22,"R",7,0.006483864,"MM02","B","16"
22,"R",14,0.005836056,"MM02","B","16"
22,"R",21,0.003568728,"MM02","B","16"
16,"L",1,0.0033258,"MM02","C","16"
16,"L",7,0.124610496,"MM02","C","16"
16,"L",14,0.147567192,"MM02","C","16"
16,"L",21,0.025669392,"MM02","C","16"
16,"R",1,0.003285312,"MM02","C","16"
16,"R",7,0.00529236,"MM02","C","16"
16,"R",14,0.005645184,"MM02","C","16"
16,"R",21,0.00344148,"MM02","C","16"
22,"L",1,0.005251872,"MM02","C","16"
22,"L",7,0.221868456,"MM02","C","16"
22,"L",14,0.087373104,"MM02","C","16"
22,"L",21,0.021290904,"MM02","C","16"
22,"R",1,0.005876544,"MM02","C","16"
22,"R",7,0.005269224,"MM02","C","16"
22,"R",14,0.008132304,"MM02","C","16"
22,"R",21,0.004702392,"MM02","C","16"
