Variate,Strain,Generation,Substrate,Day,GrowthTemp,EvolTemp,Vmax.Int,Vmax.Slope,Vmax.SE,Vmax.Rsq,Km.Int,Km.Slope,Km.SE,Km.Rsq,delH,delS,C,Vmax.Q10,Km.Q10,Q10.MMRT,Vmax.16,Km.16,Vmax.Min
BG,MM02,A,Lignin,1,16,16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.90560115740393,NA,-2.90560115740393
CBH,MM02,A,Lignin,1,16,16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15038729753038,NA,-2.15038729753038
NAG,MM02,A,Lignin,1,16,16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.86517385317103,NA,-2.86517385317103
OX,MM02,A,Lignin,1,16,16,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-3.87664424490331,NA,-3.87664424490331
PER,MM02,A,Lignin,1,16,16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.73398096649784,NA,-2.73398096649784
PPO,MM02,A,Lignin,1,16,16,-1.91402602331185,0.0851903881827692,0.00907257386795716,0.967094389706802,4.51668121480991,0.0889119829552108,0.00844877714124967,0.973625732000431,53.1229277996574,-0.0662043614604344,1.72161135455198,2.3441055060791,2.43298726510484,1.89849427330625,-0.55097981238754,5.93927294209328,-3.47964546976988
CBH,MM06,A,Lignin,1,16,16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15038729753038,NA,-2.15038729753038
NAG,MM06,A,Lignin,1,16,16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.86517385317103,NA,-2.86517385317103
OX,MM06,A,Lignin,1,16,16,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-3.87664424490331,NA,-3.87664424490331
PPO,MM06,A,Lignin,1,16,16,-2.28467790533704,0.138568797091769,0.0310631506624705,0.952151726520256,6.07895482039527,0.0248041282150672,0.0832957856871542,0.0814523411778606,NA,NA,NA,3.99757517446074,1.28151283470798,NA,-0.0675771518687318,6.47582087183635,-3.47964546976988
AG,MM10,A,Lignin,1,16,16,-0.181165035257126,-0.0303689641185117,0.028351961765068,0.534308474638837,NA,NA,NA,NA,NA,NA,NA,0.738089903614665,NA,NA,-0.667068461153312,NA,-2.5147132675231
AP,MM10,A,Lignin,1,16,16,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.518369015712207,NA,-0.518369015712207
BG,MM10,A,Lignin,1,16,16,-1.80746583054192,0.0487670201212464,0.0246427578102441,0.661949782932592,NA,NA,NA,0,-51.5815627857636,-0.429752916708773,9.63018815568322,1.62851767824238,NA,0.237817139880557,-1.02719350860198,NA,-2.90560115740393
BX,MM10,A,Lignin,1,16,16,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-2.99532272060019,NA,-2.99532272060019
CBH,MM10,A,Lignin,1,16,16,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-2.15038729753038,NA,-2.15038729753038
NAG,MM10,A,Lignin,1,16,16,-1.08541450378007,0.024452029571926,0.0553872050437864,0.163109596082649,NA,NA,NA,0,NA,NA,NA,1.27700857976895,NA,NA,-0.69418203062925,NA,-2.86517385317103
PPO,MM10,A,Lignin,1,16,16,-2.97102664291337,0.130501559349555,0.0123391780448466,0.965474355564156,4.4600279040442,0.101094527462751,0.022707834801663,0.83207394890821,88.3132762604374,0.0535960187428804,0.610961485631227,3.68774659811683,2.74819758903809,3.413751582138,-0.883001693320495,6.07754034344821,-3.47964546976988
BG,MM18,A,Lignin,1,16,16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.90560115740393,NA,-2.90560115740393
NAG,MM18,A,Lignin,1,16,16,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-2.86517385317103,NA,-2.86517385317103
OX,MM18,A,Lignin,1,16,16,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-3.87664424490331,NA,-3.87664424490331
PPO,MM18,A,Lignin,1,16,16,-5.02135950115638,0.190792893638425,0.02699941794064,0.943328017916222,0.970726655450921,0.193820619743071,0.0533649172762384,0.86834587618771,168.394407593893,0.323134441441013,-5.76445997033787,6.73911719506057,6.94627953425857,17.1179659891002,-1.96867320294158,4.07185657134006,-3.47964546976988
